panty & stocking with garterbelt,3,9013,,パンティ&ストッキングwithガーターベルト
helltaker,3,8984,,ヘルテイカー
a.i. voice,3,8962,,アイボス
aikatsu! (series),3,8953,,アイカツ!
kobayashi-san chi no maidragon,3,8863,,小林さんちのメイドラゴン
street fighter 6,3,8859,,ストリートファイター6
yuruyuri,3,8845,yuru yuri,ゆるゆり
ace attorney,3,8839,,逆裁腐向け
one-punch man,3,8817,,ワンパンマン
gridman universe,3,8653,,古立特宇宙
punishing: gray raven,3,8540,,パニシング:グレイレイヴン
pokemon omega ruby and alpha sapphire,3,8493,pokemon oras,ポケモンORAS
senran kagura new wave,3,8468,,閃乱カグラNewWave
bakemonogatari,3,8393,,化物語
spider-man (series),3,8392,,スパイダーマン
love live! superstar!!,3,8392,,ハロー!!!ラブライブ!
twisted wonderland,3,8323,,ツイステッドワンダーランド
mushoku tensei,3,8308,,無職転生
hunter x hunter,3,8257,,ハンターハンター
diamond wa kudakenai,3,8182,,ダイヤモンドは砕けない
gundam gquuuuuux,3,8177,,機動戦士ガンダムジークアクス
metroid,3,8153,,メトロイド
sanrio,3,8124,,サンリオ
the hundred line -last defense academy-,3,8116,,ハンドラ
high school dxd,3,8097,,ハイスクールD×D
to heart (series),3,7993,,
stellive,3,7888,,
sono bisque doll wa koi wo suru,3,7887,"my dress-up darling,my dress up darling",その着せ替え人形は恋をする
synthesizer v,3,7877,,シンセサイザーv
fatal fury,3,7863,garou (game series),饿狼传说
x-men,3,7821,,X-メン
ore no imouto ga konna ni kawaii wake ga nai,3,7815,,俺の妹がこんなに可愛いわけがない
saki (manga),3,7761,,咲-saki-
kemono friends 3,3,7572,,けものフレンズ3
tiger & bunny,3,7521,,タイガーアンドバニー
hibike! euphonium,3,7520,,響け!ユーフォニアム北宇治高校吹奏楽部へようこそ
nanashi inc.,3,7466,774 inc.,ななしいんく
pixiv fantasia,3,7429,,pixivファンタジア
to love-ru,3,7412,,ToLOVEる
apex legends,3,7351,,エーペックス
warship girls r,3,7279,,战舰少女
elsword,3,7278,,エルソード
marvel rivals,3,7196,,マーベルライバルズ
inazuma eleven go,3,7166,,イナズマイレブンGO
dead or alive,3,7116,,デッドオアアライブ
gundam seed,3,7111,,ガンダムSEED
little busters!,3,7094,,リトルバスターズ!
pokemon firered and leafgreen,3,7078,pokemon frlg,ポケットモンスターリーフグリーン
kaguya-sama wa kokurasetai ~tensai-tachi no renai zunousen~,3,6975,,かぐや様は告らせたい
watashi ga motenai no wa dou kangaetemo omaera ga warui!,3,6931,,私がモテないのはどう考えてもお前らが悪い!
library of ruina,3,6929,,ライブラリー・オブ・ルイナ
dungeon ni deai wo motomeru no wa machigatteiru darou ka,3,6830,,ダンまち
disgaea,3,6795,,ディスガイア
kamitsubaki studio,3,6768,,神椿スタジオ
holostars,3,6752,,ホロスターズ
angel beats!,3,6748,,エンジェルビーツ
tekken,3,6727,,鉄拳
dragon ball super,3,6721,,ドラゴンボール超
kingdom hearts,3,6721,,キングダムハーツ
ssss.gridman,3,6713,,グリッドマン
omniscient reader's viewpoint,3,6663,,全知的な読者の視点から
mahou shoujo lyrical nanoha a's,3,6651,,魔法少女リリカルなのはA's
pripara,3,6644,,プリパラ
black rock shooter,3,6624,,ブラック★ロックシューター
animal crossing,3,6576,,どうぶつの森
amagami,3,6553,,アマガミ
fire emblem: the blazing blade,3,6542,,ファイアーエムブレム烈火の剣
splatoon 1,3,6490,,スプラトゥーン1
fire emblem: radiant dawn,3,6460,,暁の女神
to heart 2,3,6443,,同班同學2
mahou shoujo madoka magica: hangyaku no monogatari,3,6420,rebellion story,叛逆の物語
fullmetal alchemist,3,6389,hagane no renkinjutsushi,鋼の錬金術師
shoujo kageki revue starlight,3,6383,,少女☆歌劇レヴュースタァライト
lobotomy corporation,3,6357,,ロボトミーコーポレーション
clannad,3,6351,,クラナド
aikatsu!,3,6331,,アイカツ!_アイドルカツドウ
megami magazine,3,6284,,メガミマガジン
needy girl overdose,3,6264,needy streamer overload,にーでぃがーる
dandadan,3,6229,,ダンダダン
fire emblem: genealogy of the holy war,3,6196,,聖戦の系譜
gintama,3,6162,,ぎんたま
date a live,3,6137,,デート・ア・ライブ
splatoon 2,3,6130,,スプラトゥーン2
stone ocean,3,6068,,ストーンオーシャン
transformers,3,6019,,トランスフォーマー
darling in the franxx,3,6017,,ダーリン・イン・ザ・フランキス
new super mario bros. u deluxe,3,6013,,NewスーパーマリオブラザーズUデラックス
gundam 00,3,5985,,ガンダム00
macross frontier,3,5956,,マクロスF
phantasy star,3,5942,,ファンタシースター
phase connect,3,5911,,フェーズコネクト
len'en,3,5907,,鏈縁Project
xenoblade chronicles 3,3,5888,,ゼノブレイド3
golden kamuy,3,5869,,ゴールデンカムイ
dokidoki! precure,3,5862,"doki doki! pretty cure,doki doki pretty cure,dokidoki! pretty cure,dokidoki pretty cure",ドキドキ!プリキュア
dark souls (series),3,5839,,ダークソウル
cyberpunk (series),3,5821,,赛博朋克(系列)
puyopuyo,3,5781,,ぷよぷよ
queen's blade,3,5771,,クイーンズブレイド
batman (series),3,5755,,バットマン
grandmaster of demonic cultivation,3,5755,"mo dao zu shi,modao zushi",魔道祖师
cookie run,3,5750,,クキロン
doki doki literature club,3,5737,doki doki literature club plus,ドキドキ文芸部
path to nowhere,3,5728,wuqi mitu,无期迷途
yahari ore no seishun lovecome wa machigatteiru.,3,5714,,やはり俺の青春ラブコメはまちがっている。
meitantei conan,3,5695,,名探偵コナン
hellaverse,3,5690,hellaverse (franchise),
mobile suit gundam,3,5656,kidou senshi gundam,機動戦士ガンダム
heartcatch precure!,3,5647,,ハートキャッチプリキュア!
flower knight girl,3,5632,,フラワーナイトガール
houseki no kuni,3,5565,,宝石の国
steel ball run,3,5559,,スティール・ボール・ラン
infinity nikki,3,5538,,インフィニティニキ
monster musume no iru nichijou,3,5535,,モンスター娘のいる日常
star wars,3,5531,,スター・ウォーズ
fire emblem: path of radiance,3,5496,,蒼炎の軌跡
puzzle & dragons,3,5490,,パズル&ドラゴンズ
dungeons & dragons,3,5479,"dungeons and dragons,forgotten realms",ダンジョンズ&ドラゴンズ
pokemon ruby/sapphire/emerald,3,5474,pokemon rse,ルビサファ
love live! school idol festival,3,5419,,ラブライブ!スクールアイドルフェスティバル
yurucamp,3,5413,,ゆるキャン
skullgirls,3,5383,,スカルガールズ
osomatsu (series),3,5379,,おそ松さん/くん
kagerou project,3,5366,,カゲロウプロジェクト
devil may cry (series),3,5358,,デビルメイクライシリーズ
mega man (classic),3,5343,,メガマン（クラシック）
vshojo,3,5331,,V少女
the legend of zelda: twilight princess,3,5321,,トワイライトプリンセス
haikyuu!!,3,5311,,ハイキュー!!
mega man x (series),3,5289,,ロックマンX
touqi guaitan,3,5286,,头七怪谈
monster girl encyclopedia,3,5276,,魔物娘図鑑
pokemon (classic anime),3,5259,,ポケットモンスター(アニポケ第1シリーズ)
idolmaster 1,3,5231,,アケマス
cevio,3,5208,,Cevio
super robot wars,3,5187,,スーパーロボット大戦
guilty gear xrd,3,5172,,ギルティギアXrd
kemono friends v project,3,5153,,けものフレンズVぷろじぇくと
hirogaru sky! precure,3,5142,"hirogaru sky! pretty cure,hirogaru sky precure,hirogaru sky pretty cure,soaring sky! precure,soaring sky! pretty cure,soaring sky precure",ひろがるスカイ!プリキュア
kouyoku senki exs-tia,3,5123,,光翼戦姫エクスティア
atelier ryza,3,5090,,ライザのアトリエ
koha-ace,3,5073,,コハエース
osomatsu-san,3,5073,,おそ松さん
sen no kiseki (series),3,5052,,
fire emblem: mystery of the emblem,3,5026,,紋章の謎
gegege no kitarou,3,4998,,ゲゲゲの鬼太郎
little witch academia,3,4992,,リトルウィッチアカデミア
machikado mazoku,3,4986,,まちカドまぞく
minecraft,3,4980,,Minecraftシリーズ
phantasy star online 2,3,4962,,ファンタシースターオンライン2
alice's adventures in wonderland,3,4958,alice in wonderland,不思議の国のアリス
taimanin (series),3,4934,,対魔忍
made in abyss,3,4916,,メイドインアビス
touhou lostword,3,4870,touhou lost word,東方ロストワード
tsukihime (remake),3,4866,,月姫リメイク
nitroplus,3,4852,,ニトロプラス
